,AcidRed87-1gL,MethyleneB-250mgL,NaCl-3M,NaOH-1M,PVP-1wt,RhodamineB-1gL,SDS-1wt,SodiumSilicate-1wt,TEOA-0-5VV,pt/gcn2,Target
0,0.23000050000000002,0.0,0.25,0.5099992999999999,1.4900007,0.5,0.25,0.5,0.25,4.005,1.05145016718672
1,0.21999931,0.0,0.5,0.0,0.0,0.0,0.9800004999999999,0.47000027,0.27000046,2.395,3.7873616276616384
2,0.0,0.22999954,0.0,0.5099992999999999,0.97000027,0.0,0.0,0.5,0.75,4.4,0.9517579380716552
3,0.5099992999999999,0.20000076,0.5100002,0.27000046,0.25999928,0.49000072,0.5,0.0,0.5099992999999999,3.21,5.895058833286459
4,0.72999954,0.28999996,1.0,0.0,0.24000072,0.48999977,0.7399998000000001,0.0,0.49000072,4.59,7.643140048247139
5,0.0,0.22999954,0.26000023,0.25,0.7399998000000001,0.7600001999999999,0.22000027,0.22999954,0.25,4.61,0.36315020507648
6,0.0,0.23000050000000002,0.0,0.0,0.48999977,0.0,0.0,1.5100002000000001,1.75,2.38,0.2424727941415425
7,0.4800005,0.0,0.7600001999999999,0.25,0.0,0.25,0.0,1.0,0.2699995,2.605,7.4793039376970505
8,0.0,0.23000050000000002,0.0,0.2699995,0.25,0.0,1.4800004999999998,0.25999928,0.48999977,1.01,0.205491899061245
9,0.0,0.0,0.0,0.25,0.22999954,1.4899997999999999,0.0,0.0,0.26000023,3.6,0.38205479274720977
10,0.23999977,1.7300005,0.0,0.0,0.26000023,0.23999977,0.22999954,0.22000027,0.25999928,4.59,1.4208250259385504
11,0.0,0.0,0.0,4.51,0.0,0.0,0.0,0.0,0.23999977,3.79,1.6922497046567366
12,0.0,0.0,0.0,0.0,0.0,0.26000023,1.4899997999999999,2.25,0.25,2.99,0.19650234049449208
13,1.0299996999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48999977,5.0,10.780531714303153
14,0.9899998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5100002,4.985,5.011281914781193
15,0.0,0.0,0.0,0.0,0.0,0.9800004999999999,0.0,0.47999954,2.0,4.59,0.60002345158562
16,0.0,1.0199995000000002,0.0,0.75,0.0,0.0,0.5099992999999999,0.21000004,0.5,3.81,0.5342432252490013
17,1.0,0.21999931,0.28999996,0.23999977,0.0,0.23000050000000002,0.0,0.0,0.5,4.4,5.472561137562604
18,0.0,0.4800005,0.25,0.0,1.5,0.0,1.0100002000000001,0.0,0.48999977,1.0,0.15779013902738
19,0.0,1.21,0.0,0.0,0.0,0.4800005,0.0,0.0,2.0099993,3.2,0.495695124133956
20,0.27000046,0.22999954,0.2699995,0.52000046,0.5100002,0.22999954,0.48999977,0.0,0.9899998,1.025,1.2342421034529458
21,0.47999954,0.75,1.5199995000000002,0.0,0.0,0.0,0.25,0.0,0.5100002,4.39,6.995099130008733
22,0.48999977,0.0,0.77999973,0.49000072,1.2399997999999999,0.0,0.0,0.23999977,0.5100002,3.995,3.5966912376184013
23,0.5,1.7299995,0.0,0.5100002,0.0,0.0,0.25999928,0.0,0.75,3.995,1.844633134493912
24,0.22000027,1.4799995000000001,0.52999973,0.0,0.75,0.0,0.5100002,0.0,0.5,1.61,0.7144342647882812
25,0.22999954,0.4800005,0.0,0.27000046,0.7599993,0.0,0.5,0.9800004999999999,0.25999928,3.615,1.4665315350852584
26,0.47000027,0.0,0.24000072,0.5199995,0.7300005,0.0,0.0,0.5100002,1.2599993,1.63,2.8449322145339657
27,0.9899998,0.0,0.0,0.0,0.0,0.0,0.0,3.2699995,0.25,1.01,6.3607404643470895
28,0.9899998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5100002,4.975,16.392032317570113
29,0.9699993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.0,16.770489317729993
30,0.77999973,0.0,0.0,0.24000072,0.0,1.2200003000000001,0.7399998000000001,0.7399998000000001,0.25,2.79,12.864018629295266
31,0.5,0.23999977,0.5,0.0,0.47999954,0.48999977,0.7400007,0.49000072,0.5,2.38,3.9993528096880704
32,0.9899998,0.0,0.7399998000000001,0.52000046,0.23999977,0.48999977,0.0,0.0,1.0100002000000001,1.6,4.3695236118059695
33,0.5099992999999999,0.97000027,0.0,0.0,0.23999977,0.26000023,0.97999954,0.7399998000000001,0.23999977,4.205,6.691729517914907
34,0.5,1.0299996999999999,0.0,0.0,1.25,0.0,0.0,0.23999977,0.5,2.785,0.4302781471489005
35,0.0,1.5,0.0,0.5,0.0,0.22999954,0.0,0.9900007,0.23999977,1.995,0.15062773666331605
36,0.0,0.0,0.0,0.0,0.0,0.7300005,0.25999928,0.5,1.2599993,2.39,0.1819077841704008
37,0.0,0.0,1.2599993,1.4900007,0.0,0.0,0.0,0.4800005,0.7600001999999999,1.6,0.6938877774297632
38,0.0,0.0,0.7600001999999999,0.26000023,0.25,0.97999954,0.25,1.2200003000000001,0.25,2.005,0.2530137402318962
39,0.0,1.4899997999999999,0.0,1.2699995000000002,0.24000072,0.75,0.0,0.0,0.25,1.215,0.15175012985900502
40,0.20000076,0.21000004,0.25999928,0.0,0.0,0.5,1.0,0.0,1.0099993,2.01,1.276607165902378
41,4.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23000050000000002,3.78,26.627735337294588
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49000072,3.4899998,3.81,0.3846946947609632
43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49000072,4.99,10.591218086174644
44,0.9899998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.015,8.765343173736385
45,0.5,0.27000046,0.23999977,0.26000023,0.0,0.25,0.0,0.5,1.2599993,4.2,0.15446291101925785
46,0.4800005,0.45999908,0.0,0.26000023,0.0,0.5,0.7399998000000001,0.5100002,0.5100002,3.99,9.072257142745784
47,0.4800005,0.5,0.25,0.5,0.0,0.25,0.0,0.22999954,1.2600002000000001,1.8,4.996640579051689
48,0.5,1.0,0.26000023,0.0,0.0,0.7399998000000001,0.0,0.5,1.0,4.6,1.195469848733916
49,0.22999954,1.4700003000000001,0.0,0.0,0.2699995,0.23000050000000002,0.0,0.7399998000000001,0.48999977,4.01,0.5358754795507922
50,0.0,0.23000050000000002,1.75,0.0,0.75,0.23999977,0.48999977,0.0,0.25999928,4.605,0.19887836566688002
51,0.0,0.52999973,0.27999973,0.0,0.5100002,0.0,0.5,0.97999954,0.7400007,2.205,0.14903846964691447
52,0.22999954,0.0,0.25,1.25,0.0,0.48999977,0.0,0.26000023,0.75,1.595,2.704752733947553
53,0.0,1.9799995,0.27000046,0.25999928,0.0,0.0,0.75,0.22000027,0.5100002,2.995,0.15086097809018045
54,0.7300005,0.0,0.0,0.5100002,0.26000023,0.97999954,0.72999954,0.27000046,0.25999928,2.585,10.217933297167644
55,0.4800005,0.22000027,0.5,0.0,0.0,0.0,1.5,0.0,0.23999977,2.785,10.341819233097429
56,0.0,0.0,0.0,0.0,1.0,0.0,1.2399997999999999,0.5099992999999999,0.25,4.195,0.14955865689083847
57,0.22000027,0.0,0.0,0.0,0.0,3.9800004999999996,0.0,0.0,0.23999977,4.615,0.0
58,0.0,0.0,0.0,0.0,0.0,4.2300005,0.0,0.0,0.25999928,3.795,0.0
59,0.9899998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48999977,4.99,10.106949291737402
60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5099992999999999,5.01,8.876807280207219
61,1.2300004999999998,0.0,1.5299996999999999,1.4900007,0.0,0.0,0.0,0.0,0.25,0.995,4.551573496140843
62,0.9699993,0.0,0.75,2.5,0.0,0.0,0.0,0.0,0.24000072,1.0,4.208153285281777
