,AcidRed871_0gL,L-Cysteine-100gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,Target
0,0.24071468,1.0211588,0.0,0.26000059999999997,0.0,1.96,0.75911057,0.49360955,0.0,0.0,0.4725440958519361
1,0.0,1.7571294999999998,0.46028820000000004,0.0,0.21024476,1.28,0.0,0.0,0.72841126,0.25910398,0.17620783372809246
2,0.0,0.75436956,0.21013159,0.0,0.22025666,1.24,0.2872305,0.0,1.2443683,0.24913824,0.27006419696738
3,0.7422041,0.24839048,0.0,0.26896632,0.72083837,4.645,0.99504966,0.24176782,0.0,0.0,0.17575185320258846
4,0.51151943,0.24838960000000002,1.0106329,0.0,0.5005827,1.795,0.5026536,0.28206247,0.28327066,0.0,0.15330824370996207
5,0.23068467,0.24838960000000002,0.7504698000000001,0.78896666,0.0,3.68,0.24619853,0.49360955,0.9813316999999999,0.0,0.15938711719328005
6,0.2507447,1.2603495,0.24015106,0.26896632,0.73085123,4.285,0.0,0.0,0.22256933,0.23917247,0.783928789875228
7,0.2507447,0.48758024,0.0,0.2868978,0.9811426,2.26,0.0,0.50368345,0.26303658,0.75737953,0.3167038039301401
8,0.28083476,0.2299908,0.23014458,0.0,1.4917361999999998,0.99,0.0,0.49360955,0.0,0.7474147,0.15135861423856722
9,0.2507447,0.48758024,0.0,1.0041403,1.2214221,1.395,0.0,0.25184172,0.47549078,0.0,0.1916822508473282
10,0.4914594,0.49678009999999995,0.5003132,0.49310479999999995,0.75087404,1.93,0.0,0.25184172,0.50584096,0.0,0.2636238312999405
11,0.5115185,0.23918976,0.0,1.5151757,0.23026949,3.165,0.23594005,0.7454522,0.0,0.48830977,0.4483589584601992
12,0.99294883,0.24838960000000002,0.74046427,0.51103544,0.0,4.4,0.48213762,0.554052,0.25292048,0.0,0.15605869309088002
13,0.24071468,0.22079095,0.7604763000000001,0.0,0.24027947,2.2,0.74885213,0.49360955,0.23268639,0.0,0.16668829115357847
14,0.0,0.48758024,0.0,0.0,0.0,4.94,0.0,0.0,0.0,0.0,2.744416275348497
15,0.0,0.49678009999999995,0.0,0.0,0.0,4.975,0.0,0.0,0.0,0.0,2.7120160336816506
16,0.24071565,1.00276,0.0,0.26896632,0.0,1.96,0.7385927,0.49360955,0.0,0.0,0.4242641300691602
17,0.0,1.72953,0.4903067,0.0,0.2703151,1.39,0.0,0.0,0.72841126,0.24913824,0.1819077841704008
18,0.0,0.76356936,0.22013807,0.0,0.22025666,1.39,0.24619755,0.0,1.2544853999999999,0.24913824,0.2990419633929698
19,0.7422041,0.23918976,0.0,0.25103486,0.7708978,4.76,1.0053082,0.25184172,0.0,0.0,0.22569637069721404
20,0.4914594,0.24838960000000002,0.9806134,0.0,0.47054799999999997,2.0,0.49239609999999995,0.25184172,0.25292048,0.0,0.16004091191990485
21,0.27080473,0.24839048,0.7304568,0.7531054,0.0,3.795,0.24619755,0.48353565,0.9813316999999999,0.0,0.15158181763402445
22,0.26077473,1.2511497,0.22013807,0.26896632,0.74086213,4.375,0.0,0.0,0.25292048,0.24913824,1.020435539423172
23,0.26077473,0.4783804,0.0,0.25103486,0.97113067,2.4,0.0,0.48353565,0.23268639,0.72748417,0.3308744850834541
24,0.2507447,0.2299908,0.24015011,0.0,1.5217718,0.995,0.0,0.50368345,0.0,0.7474147,0.1494662242725832
25,0.24071468,0.48758113,0.0,1.0041403,1.2614676999999999,1.39,0.0,0.24176878,0.48560783,0.0,0.2086380665969672
26,0.5014894,0.48758024,0.4903067,0.5110363,0.7408630999999999,2.01,0.0,0.24176782,0.49572390000000005,0.0,0.32948678849739604
27,0.4914594,0.24838960000000002,0.0,1.5062098999999998,0.25029135,3.215,0.25645602,0.7655991,0.0,0.48831168,0.51093522738722
28,0.0,0.24838960000000002,0.0,0.0,0.0,3.795,0.0,0.0,0.24280439999999998,4.2453156,2.6142648143896343
29,0.27080378,1.2327508,0.0,0.0,0.50058365,3.375,0.0,1.9945869999999999,0.0,0.0,1.290683341886904
30,0.0,0.48758113,0.0,0.0,0.0,4.995,0.0,0.0,0.0,0.0,3.2438900282297007
31,0.0,0.4783804,0.0,0.0,0.0,4.995,0.0,0.0,0.0,0.0,2.9886851720646685
32,0.0,0.27599,0.0,4.2586317000000005,0.0,4.98,0.0,0.0,0.0,0.0,1.9487749446692049
33,0.24071468,0.73597074,0.23014362,0.0,0.26030323,5.0,0.0,0.0,0.0,0.0,1.1671441789957442
34,0.0,0.28518897,3.7523491,0.49310479999999995,0.0,5.02,0.0,0.0,0.0,0.0,0.0
35,0.0,0.24838960000000002,0.0,1.5062108,0.22025666,5.005,0.0,0.7454513,0.47549078,0.7573805,0.20308354431601996
36,0.24071468,0.25759032,0.0,0.0,0.9611188,4.99,0.4923951,0.7555251999999999,0.0,0.72748417,0.16704331943220502
37,0.0,2.4839013,0.0,1.2462102,0.0,4.995,0.0,0.0,0.0,0.0,4.874229131265545
38,0.0,0.2299908,0.0,0.0,4.495232,4.985,0.0,0.0,0.0,0.0,0.8424604143113281
39,4.5134050000000006,0.23919064,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.6114159022599751
40,0.26077473,0.23919064,2.5115726,0.7441396,0.0,5.065,0.5026536,0.0,0.0,0.0,0.0
41,0.0,0.48758024,0.48030022,0.0,0.23026854,5.05,0.24619755,0.0,0.0,0.0,1.5160761785093444
42,0.0,0.23919064,4.2626686,0.0,0.0,4.99,0.0,0.0,0.0,0.0,0.0
43,0.0,0.47838128,0.0,3.9986292999999997,0.0,4.98,0.0,0.0,0.0,0.0,2.814925955972873
44,0.24071468,0.48758024,0.0,0.7531054,1.2314329,4.97,0.0,0.0,0.23268734,0.0,1.00038899415224
45,0.0,0.2299908,0.0,0.0,0.0,4.97,4.246912,0.0,0.0,0.0,1.6587199337604608
46,0.0,0.4783804,0.0,0.0,0.0,5.01,0.0,0.0,0.0,0.0,3.0860233162470685
47,0.0,0.48758024,0.0,0.0,0.0,4.97,0.0,0.0,0.0,0.0,3.0907015568488707
48,0.5014894,0.47838128,0.49030766,0.25103486,0.23026758,4.985,0.48213762,0.0,0.0,0.0,0.882000191146452
49,0.0,4.72861,0.0,0.0,0.0,4.985,0.0,0.0,0.0,0.0,5.123514471462769
50,0.0,0.2299908,0.0,0.0,4.2449417,5.005,0.0,0.0,0.0,0.0,0.7237243175249407
51,0.27080473,0.48758024,0.0,0.49310479999999995,0.74086213,5.01,0.2256806,0.0,0.0,0.0,4.86563769962628
52,0.0,0.48758024,0.0,4.240699299999999,0.0,4.98,0.0,0.0,0.0,0.0,2.3945401948346183
53,0.23068562,0.2299908,1.2407765,0.0,0.47054799999999997,5.01,0.0,0.7454513,0.0,0.7573805,0.0
54,0.0,0.2299908,4.4928126,0.0,0.0,4.99,0.0,0.0,0.0,0.0,0.0
55,0.0,0.23919064,0.0,0.7351739,0.0,5.01,3.4775440000000004,0.0,0.0,0.0,1.2100285377552324
56,0.24071565,0.98436034,1.7410907,0.0,0.0,5.04,0.0,0.0,0.23268639,0.0,0.14998333388136126
57,4.2225410000000005,0.24838960000000002,0.0,0.0,0.0,5.015,0.0,0.0,0.0,0.0,0.6677084411249624
58,0.0,4.4894204,0.0,0.0,0.0,4.975,0.0,0.0,0.0,0.0,5.503283488318937
59,2.7581917999999996,0.27598915,0.0,0.0,1.4516906,5.015,0.0,0.0,0.0,0.0,0.16842654569346005
60,0.0,0.23919064,1.0006274,0.0,0.48055893,5.02,0.23593907,0.7555251999999999,0.0,0.73744893,0.17181378426944185
61,0.4914594,0.7267709,0.7404633,0.0,0.0,5.005,0.49239609999999995,0.0,0.24280342,0.0,0.3074533113880801
62,0.0,0.48758024,0.0,0.0,0.0,4.985,0.0,0.0,0.0,0.0,3.0364105583976047
63,0.0,0.48758113,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.747445952526876
64,0.0,3.5234589999999995,0.0,0.0,0.0,4.19,0.0,0.0,0.0,0.50824225,6.26327716594938
65,0.0,2.9990792,0.0,0.0,0.0,4.6,0.0,0.0,0.0,1.1958634,8.468736411987495
66,0.0,3.2474706,0.0,0.0,0.0,4.2,0.0,0.0,0.0,1.4848636,8.719445229111992
67,0.0,3.23827,0.0,0.0,0.0,4.805,0.0,0.0,0.0,1.2257596000000002,8.934360516907711
68,0.0,2.9898813,0.0,0.0,0.0,4.595,0.0,0.0,0.0,0.7573805,8.039154098726879
69,0.0,3.2382708,0.0,0.0,0.0,4.75,0.0,0.0,0.0,0.9865881,8.902232243898348
70,0.0,2.9990792,0.0,0.0,0.0,4.805,0.0,0.0,0.0,1.2357254,10.11013307045359
71,0.0,0.2299908,0.7204513000000001,0.0,0.0,1.79,3.7852905,0.0,0.0,0.0,0.1602984343718578
72,0.0,3.229071,0.0,0.0,0.0,4.19,0.0,0.0,0.0,0.7573805,8.300328859224203
73,0.0,3.4866605,0.0,0.0,0.0,4.335,0.0,0.0,0.0,0.75737953,8.76052910326865
74,0.0,3.229071,0.0,0.0,0.0,4.85,0.0,0.0,0.0,1.4948294,11.052185616286387
75,0.0,4.2410307000000005,0.0,0.0,0.0,4.835,0.24619755,0.0,0.0,0.23917247,6.004935755395341
76,0.0,0.22079095,0.74046427,0.0,0.0,1.51,3.7545161,0.0,0.0,0.0,0.1658559392824648
77,0.0,3.2382708,0.0,0.0,0.0,4.57,0.0,0.0,0.0,0.72748417,9.252018356561184
78,0.0,0.50597996,0.0,0.0,0.0,4.94,0.0,0.0,0.0,0.0,3.7325988474979503
79,0.0,0.48757938,0.0,0.0,0.0,4.975,0.0,0.0,0.0,0.0,3.5294775736293214
80,0.0,3.7534506000000003,0.0,0.0,0.0,4.37,0.2256806,0.0,0.0,0.73744893,5.323435923037284
81,0.0,3.7350510000000003,0.0,0.0,0.0,4.98,0.25645602,0.0,0.0,0.72748417,6.148709984070241
82,0.0,3.2474706,0.0,0.0,0.0,4.555,0.0,0.0,0.0,1.255657,9.08334248922149
83,0.0,3.23827,0.0,0.0,0.0,3.595,0.0,0.0,0.0,1.255657,8.26902384278854
84,0.0,3.24747,0.0,0.0,0.0,4.365,0.0,0.0,0.0,0.99655294,8.468700817031399
85,0.0,3.2474706,0.0,0.0,0.0,4.77,0.0,0.0,0.0,0.98658717,8.821016097337116
86,0.0,3.008279,0.0,0.0,0.0,5.02,0.0,0.0,0.0,1.4948294,10.684920416846506
87,0.0,4.0018400000000005,0.0,0.0,0.0,4.465,0.23593907,0.0,0.0,0.0,4.715763587039434
88,0.0,3.2658702999999996,0.0,0.0,0.0,4.785,0.0,0.0,0.0,1.2456912,9.947156339700054
89,0.0,2.9806814,0.0,0.0,0.0,4.375,0.0,0.0,0.0,1.5047952,10.620577020327614
90,0.0,3.2566697999999996,0.0,0.0,0.0,4.965,0.0,0.0,0.0,1.2357254,10.459311547798814
91,0.0,0.23919064,1.0006274,0.0,0.0,2.54,3.4980612,0.0,0.0,0.0,0.1572217196521472
92,0.0,3.01748,0.0,0.0,0.0,4.425,0.0,0.0,0.0,0.99655294,9.063864691338855
93,0.0,3.2382708,0.0,0.0,0.0,5.055,0.0,0.0,0.0,1.4848636,11.34892135887782
94,0.0,0.46918055,0.0,0.0,0.0,5.085,0.0,0.0,0.0,0.0,3.4340379843228046
95,0.0,0.50597996,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,3.397814746873544
96,0.26077473,2.4839005000000003,0.0,0.25103486,0.0,4.965,0.0,0.0,0.0,0.7474147,2.5183092003318466
97,0.0,2.9806814,0.0,0.0,0.0,5.04,0.0,0.0,0.0,1.7439677,9.82796094566309
98,0.0,3.4866614,0.0,0.0,0.0,4.41,0.23593907,0.0,0.0,0.7274832,5.801724972381004
99,0.0,2.9806805,0.0,0.0,0.0,4.95,0.0,0.23169488,0.0,1.2456912,2.0384911167371755
100,0.0,3.008279,0.0,0.0,0.0,4.95,0.0,0.7454513,0.0,0.7374499,1.7263842425256202
101,0.0,2.74149,0.0,0.0,0.0,4.945,0.0,0.0,0.0,1.9831411,10.584922160235932
102,0.0,3.5142599999999997,0.0,0.0,0.0,1.94,0.0,0.0,0.23268639,0.7274832,2.7547733070281417
103,0.0,3.73505,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.99655294,8.35144243349786
104,0.0,2.4839013,0.0,0.0,0.0,2.365,0.0,0.0,0.0,1.7539334,8.922908307884542
105,0.0,2.732291,0.23014362,0.0,0.0,4.365,0.0,0.0,0.0,1.5047952,2.819886911706848
106,0.0,1.9963202000000002,0.0,0.0,0.0,4.975,0.0,0.0,0.0,2.7704169999999997,13.016154120231493
107,0.0,3.5050592000000003,0.0,0.0,0.0,2.97,0.25645602,0.0,0.0,0.49827647,5.354290957223943
108,0.0,2.9898803,0.0,0.0,0.0,4.98,0.9745326999999999,0.23169488,0.0,0.0,2.279825522753016
109,0.0,3.7534497000000004,0.0,0.2510357,0.0,4.455,0.23593907,0.0,0.0,0.0,5.267631686813312
110,0.0,0.49678096,0.0,0.0,0.0,5.05,0.0,0.0,0.0,0.0,3.6528747635629433
111,0.0,0.48758113,0.0,0.0,0.0,5.05,0.0,0.0,0.0,0.0,3.3644833721311245
112,0.0,2.2355107999999997,0.0,0.0,0.0,4.15,0.0,0.24176782,0.49572390000000005,1.255657,0.6372622405674512
113,0.0,2.4747014,0.0,0.0,0.0,3.37,0.0,0.0,0.24280342,1.2456912,3.045829174817225
114,0.0,1.7387298,0.0,0.51103544,0.0,4.205,0.0,0.0,0.0,1.9931058999999998,10.767050405280312
115,0.0,1.9871203999999998,0.0,0.0,0.0,2.175,0.0,0.22162098,0.0,1.9731753,1.3882660392415431
116,0.0,2.2447107,0.0,0.0,0.0,4.97,0.0,0.0,0.0,2.501348,10.98471849032744
117,0.0,2.4838996,0.0,0.0,0.0,4.375,0.0,0.0,0.0,1.9931058999999998,10.154543721480184
118,0.0,2.7230911,0.0,0.0,0.0,3.215,0.0,0.25184172,0.0,1.4948294,2.070353444071994
119,0.0,3.7442498,0.0,0.0,0.0,3.185,0.0,1.0073669,0.0,0.0,1.3913516718265286
120,0.2507447,3.7442498,0.0,0.0,0.0,4.83,0.0,0.5137564,0.0,0.0,1.051048647553902
121,0.23068562,2.7598906000000003,0.0,0.0,0.0,3.63,0.0,0.0,0.0,1.4848636,3.708388929262617
